"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: heapType","Param: size"
"benchmarks.DijkstraBenchmark.runDijkstra","avgt",1,3,110.722560,39.788157,"ms/op",50,BINARY,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate","avgt",1,3,7.372051,2.618896,"MB/sec",50,BINARY,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate.norm","avgt",1,3,855708.430874,51.012842,"B/op",50,BINARY,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.count","avgt",1,3,4.000000,NaN,"counts",50,BINARY,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.time","avgt",1,3,25.000000,NaN,"ms",50,BINARY,1000
"benchmarks.DijkstraBenchmark.runDijkstra","avgt",1,3,2.141882,0.498232,"ms/op",50,FIBONACCI,100
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate","avgt",1,3,346.789402,80.405950,"MB/sec",50,FIBONACCI,100
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate.norm","avgt",1,3,778801.483797,0.388481,"B/op",50,FIBONACCI,100
"benchmarks.DijkstraBenchmark.runDijkstra:gc.count","avgt",1,3,43.000000,NaN,"counts",50,FIBONACCI,100
"benchmarks.DijkstraBenchmark.runDijkstra:gc.time","avgt",1,3,32.000000,NaN,"ms",50,FIBONACCI,100
"benchmarks.DijkstraBenchmark.runDijkstra","avgt",1,3,39.300337,6.940901,"ms/op",50,FIBONACCI,500
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate","avgt",1,3,142.521047,25.278598,"MB/sec",50,FIBONACCI,500
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate.norm","avgt",1,3,5873008.504641,328.716613,"B/op",50,FIBONACCI,500
"benchmarks.DijkstraBenchmark.runDijkstra:gc.count","avgt",1,3,10.000000,NaN,"counts",50,FIBONACCI,500
"benchmarks.DijkstraBenchmark.runDijkstra:gc.time","avgt",1,3,8.000000,NaN,"ms",50,FIBONACCI,500
"benchmarks.DijkstraBenchmark.runDijkstra","avgt",1,3,134.752348,16.981120,"ms/op",50,FIBONACCI,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate","avgt",1,3,89.774983,11.271311,"MB/sec",50,FIBONACCI,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate.norm","avgt",1,3,12684989.331892,37.030676,"B/op",50,FIBONACCI,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.count","avgt",1,3,4.000000,NaN,"counts",50,FIBONACCI,1000
"benchmarks.DijkstraBenchmark.runDijkstra:gc.time","avgt",1,3,5.000000,NaN,"ms",50,FIBONACCI,1000
"benchmarks.DijkstraBenchmark.runDijkstra","avgt",1,3,2.624761,0.343958,"ms/op",70,PAIRING,100
"benchmarks.DijkstraBenchmark.runDijkstra:gc.alloc.rate","avgt",1,3,239.860625,31.344334,"MB/sec",70,PAIRING,100
